Number,LandUse,Diversity,Stress,Wet Wt.,Corr.,Dry Wt.,DNA(ng/ul),PCR mass,DNA (ng/g soil),16S2,bac_scaled,log16S,tetW,tetW_scaled,logtetW,tetW.16S,tetM,tetM_scaled,logtetM,tetM.16S,tet_scaled,logtet,tet.16S
1,Cultivated,Pos,Control,0.3497,0.808111081,0.282596445,17.7773278,3.55546556,6290.711763,13920229,24629165109,10.39144969,NA,0,NA,0,1.848124862,163.4950559,2.213504624,6.64E-09,163.4950559,2.213504624,6.64E-09
2,Cultivated,Pos,Control,0.3556,0.808423248,0.287475307,22.7505395,4.5501079,7913.910846,7899302.5,13739097424,10.1379582,NA,0,NA,0,1.265810639,110.0799449,2.041708204,8.01E-09,110.0799449,2.041708204,8.01E-09
3,Cultivated,Pos,Control,0.3434,0.79595186,0.273329869,15.7132243,3.14264486,5748.813466,4277288.5,7824407410,9.893451456,1.59047997,145.4725729,2.16278112,1.86E-08,1.61335361,147.5647006,2.168982481,1.89E-08,293.0372735,2.466922865,3.75E-08
4,Cultivated,Pos,Control,0.3284,0.805479868,0.264519589,18.59650465,3.71930093,7030.293958,3592130,6789913027,9.831864211,2.641139269,249.6166053,2.397273473,3.68E-08,0,0,NA,0,249.6166053,2.397273473,3.68E-08
5,Cultivated,Pos,Control,0.346,0.805539095,0.278716527,18.33616235,3.66723247,6578.785465,8501205,15250629554,10.18328777,2.133991003,191.4123131,2.281969871,1.26E-08,0,0,NA,0,191.4123131,2.281969871,1.26E-08
6,Cultivated,Neg,Control,0.4,0.807565928,0.323026371,17.70348625,3.54069725,5480.50804,5237976.5,8107660806,9.908895571,2.340251207,181.1192069,2.257964508,2.23E-08,0,0,NA,0,181.1192069,2.257964508,2.23E-08
7,Cultivated,Neg,Control,0.3346,0.808464026,0.270512063,10.47184,2.094368,3871.117569,7364953.5,13612985345,10.13395338,1.492122412,137.897955,2.139557826,1.01E-08,0,0,NA,0,137.897955,2.139557826,1.01E-08
8,Cultivated,Neg,Control,0.3922,0.804287269,0.315441467,11.05635065,2.21127013,3505.040337,2202804.25,3491621238,9.543027127,NA,0,NA,0,4.329862118,343.1589196,2.535495292,9.83E-08,343.1589196,2.535495292,9.83E-08
9,Cultivated,Neg,Control,0.339,0.802776869,0.272141358,12.27975915,2.45595183,4512.272306,4448168.5,8172533065,9.912356686,NA,0,NA,0,2.411836386,221.5609931,2.345493303,2.71E-08,221.5609931,2.345493303,2.71E-08
10,Cultivated,Neg,Control,0.42,0.802875134,0.337207556,14.89441165,2.97888233,4416.986326,3997662.75,5927599598,9.77287886,NA,0,NA,0,1.863956213,138.1905727,2.140478417,2.33E-08,138.1905727,2.140478417,2.33E-08
