sequence,16S_rRNA_Count
299eba4b6458c69158d00f2457043b91,2
45412043a6e75b0532a9c630c9af29ee,1
cf09cd73c9ec0f8bc7a3710ca75ab28e,1
d0b78b09aa6496934fa71b9427f9dba2,1
331961b86923f735b41812a479f6dbb5,1
7e532ea1f95d42448c9a3430a21c3041,1
c015f1784c3489673ce2e1182ce11bd2,1
ce70903a3a71cca423245403bc99445f,1
a1bedc0799511cb8a6e35975618bd4cd,1
2151fb50a4d99087bf61070794645e5e,1
34051213ed2394126fcb31201b59201a,5
3fde942d8ebc2f8bb3d6894e6cfd386a,1
927a7dd6d512f44df84c2ef911419832,1
480f6b19df9ac96ae32751cef20e5a32,1
ffcbb8505cd76a1fe7e6a44e0c6cf521,1
c385c65801e0dff1ff4f4aa78d8bc1cd,1
db75c96a2b7f5e3091d10316d5f0579c,1
ee590e3d886b618615328f01bd3133ac,2
ab764cb4959643d93e5ed9cfdcf20039,1
567e96ee34dcc0a9146b68d500432a54,1
c3487784d663855e5a8dd30da973c507,3
83f74a2abe5bdd3eb6c6b0aa69aa1560,1
45756f0f8f5b9960db94dd7d9439a871,1
9ba1651c52b4f43000530615917284c7,1
e7fb0ecbf2f9170d427413f53c8aff49,1
dbfb9732208f28b78d0bc6a533d22ba5,1
46741670db903b00bb6bb141c369c3ec,1
6a251a6f8674de001af217161ab52a22,2
136302065de6c4d6f5e3832ca124b19c,1
c787c5a99736818afb19f86a41fc0b7c,1
4255e26f2cfe660ba1857382db1a6cf0,1
23e99d50085f2f858238b6ef6fe21065,1
c2710bcc91ead1781a225b9839cb87f9,1
8ce07b8eca751825802ea0dd8911636d,1
e92dfc1f9daf085e9be72498f485dce5,1
cfea1f3c8c1771df1ac416d1004868c6,1
7c9ac7bd2b78c5d1c4e18fa76f3d5b83,1
b8e782a09c6e6162413d904e3388af9c,1
321de0d62c64265584bb3d511f185367,2
356982ea0c3cdf31bed31e50141ccbbd,4
b0a6bf098dd071f54fc238237dc28fc8,1
4cfdfe8899a575819d0b1be06d192d3b,1
d891746d40217f8e9420111a784bcb2f,1
d64062aa7fe7fbd56532d25f015332dc,4
49604689280181f70d987aa9a67dd42e,1
5c2fe05b4385103bcdf75ee2c71f4f8c,1
16c58aa1916bf1a6d71a8964481b888f,1
e7a361a17e600b17fabfba3b46756442,2
2167cde8f7b7bbdf2c76b9272b9db435,1
e2303c484fe69eeedeb21a3ba261874a,1
ed4d430e981808d5f0970127ab1b07b8,1
35fbcdda88005cdb6699d43e14e40a2e,1
748868bf572741ce414f3fd4a5424b26,1
d93ffa15c529756a7f3bff35e3010a5a,1
cb655d68d18bbb6658a67d95e6f98c77,1
6cd29bf959bf5daa93f0427066187bf8,1
e82d84fea5d22641f2c82d8237cf3052,1
615bd33c02924e045567c5a2f2e6c5f0,1
f4d0621390bc357f823ea0f9826195d0,1
0e8efbac1ecb94ddcef73744fc125a27,1
283080dfc124c085ff2578b0f3072d23,1
0168603bf3287d1b50b775f14f36c1b3,1
7b88bcc97163537257872cabbeb52458,1
6641703e7dd12cc8173af52245f5ef12,1
17e019950b03f5191db2c45dd03bd6a9,1
ca67ddb6f39057b36fe107380b94d653,1
b7a2e61353a1c2e5505e4867b7079648,1
88d2b2937380dda78284be46a0c3f13d,1
8f76543e3a47ed33ecb0729b99a3b936,1
117d8a1d82efab0c89d947e33601590b,1
689dba3a7a762212423b5681233e6f82,1
59e2dd0e79d38a40a46089422f3f579f,1
4596bb2af1f220e05a70f77005141bbc,1
e9f393c62ba36630661e0cb2c36d9a73,1
ae3a82ec293421b9d2a7005f3dc10d2a,1
bbbc45c40b4b401f4b4a52f47bcc39dc,2
ff2d5b869e3fcc88c9aa2e85b350335d,1
959d8fdbb39ee4cbaf293e586e1a479a,1
e68dd390bcc1a3e17f875c754ab62bad,1
527281088877b6ac9c4c1bf83c00f5ca,1
d773f47c061f6eebabb5348bd2f7a06e,2
6b8f77eaa30e0af256e913ee1f3034da,1
07d4678dcadf5e3f881726d6032be345,1
2fa54cf74beefff809dff7e475fa0804,1
96af2e6ff3c23be235cc0610a5fe7d94,1
054869412b1f6ad1e87a050cf3e2d7b7,1
19074517a6f78a35929c985c44ad51e4,1
0baa5f826eb3abda5c49cee4029b49b6,1
2d3bfeb2adb25b1b6cca3191c3a147e2,1
6da1eaeaebee35ca89eae680539f1a6d,1
0c6c84d78418b38f80d9b4ccda0c0f67,1
f1e104221f6d2c85630213d69d0f2ee8,1
4e07e7bb95cd6245f4c27f7d134c9b34,1
a2bba69ae5c18de38c23926a5b39ac3d,1
9ed80b72322df41163a42eb5ea2f7536,1
f32786e70070970899a4e7b8760f0561,2
7d2f85b601c22bce348c824fbfadb452,2
357597172f368fd200712db56095a629,1
380bf52024c2ce0264530b4e27d22fdf,2
7907782e8986a1975c5c0569ea901555,1
afa130291c1ed5d6cec90c374cb34749,1
40fc49c5104ab4a156d320ea708956d7,1
5635624803d0ac97cafb7aef2a3150c1,1
95846781afd302c8cf2097067bc90d12,2
82713ce068c2116a02c7458f1d9f4807,2
f4e124f41700cf21fdab6ce80f11bb93,1
1d19a2d0a96fa317fc8cf942fea795c5,2
59395dce3e511d5e8910819ae53585e0,1
b8f8869cc5873971881c5b5678b8c1ac,2
2b19e5a35044da34ffb9ceded004f585,1
a54fc0e332e90f70155847291ae08632,1
7d7ded796cee629d42c31a039dc3faec,1
13a119f2df8066dfe9861203debde32f,1
eb22cc76d6af9469a959a2c983ee518c,1
cdf1ad2c3b8c71f199c8df841ffba904,2
37d1c31e5b24bf5e15b0f1cca713b7d6,1
67f5a903cf5840680db25ebaebd55324,2
854e4ecb4584320fbb095038f7e3a42f,1
90d9ab6b14f8187c22729444cb3bd5a1,1
436409e34708de25bbd6ca34fc8b98e0,1
6fc94962957d29b9feba1db8dfe97743,2
131fa7e62182e01315ab5ba8111f67d0,1
9cdbb10675f4b01526bd0cd85f5fb86c,1
f21cfc7e59341ec3389eab19737321f5,1
59ed7710dcc10a91caaf72a67e41e726,1
7409b563950b3cba926af7494391ce99,1
0a8f2f038f9b3f7f70cf0abae1a3ed76,1
3f24d1c4418158ea8b86a4d02f827d27,1
408010d10911003fdf23f9a95210fcc5,1
a32a981554432778014f31795a83781c,1
1ad081dbb956f3379220b5802dc30992,1
ad7210d9c101f23c240578c658432911,5
cfbbc1fa65bfd02208393b75017a2086,2
719d5702840e8c37305ca68a55c7b2d5,2
2a43ace48ea34f7cd912a6a1a086ca1f,2
ec72bb247f168ba1ec37161e05c3407b,2
4c2bacdfa63da1c0455f6fbfa574186b,1
198dd03b109431edfce9c9affc35b28f,2
f227dbeddd53fbdb684addd4f371bea1,1
3e4189d50913048fb6c5915d3e0e8c68,1
da433aa8562881c6193613896e637d27,1
a98563b226875b6254ea7ce768d507c5,1
12b1a068e0161631fac8e08f5b1732a5,5
829e909ced458c641e68e5ff964a2b57,1
c75b600aaf8492ddee351b23e7694d11,1
e1102fef6bf74d13ffd080ce240de02b,1
f7b4f354ff4b5e0d050ff48be09bf758,1
b645a28bb60cd2577ebc5acd24fdb387,1
24e652f46daa3bd9cff018435dc26403,1
d57d316cbfbc131d14189d24be102edc,1
7014e19efb1c6bdbbcd34e74589ea3e8,1
30c6f4b38152b88ee5799f5eb7df4eeb,2
0c02fdc9f05b01bb16f6f595c9c19c56,1
55cb62e8235b936b101a8aedc935e358,5
558abc09f1fd68e10632107794bb6c8c,2
b1b4d83c6b928abc6445b3a245f775b0,2
bc69b72b4a233ac5248cee1b04030025,2
623bd386c3e3fcc0f0bc4e30581031ed,1
88ec52e4bf12f91eb849a01af6b23e97,2
67a934ff106255c06c56983ab64e9502,1
937d2ba091c240c54565fece3d423a06,2
644d5e36716e577e66c62f7d8b94879b,5
2de9a20b5d8f5478855e1c1c62624fd7,1
b213828817e11e35905e80e11572c644,1
4f29e17c72ca593e1ac5c9b333679e42,1
6afe211f3154b774a324656d31655333,1
ea415bc3563f59dc44d37401a4915a27,5
fca38ea4a76976e6e17d9ff10b954b45,1
fb77c78c7d42a087ae9050c7d32963fd,1
e51adcf263db7176c9cef5304be8f99d,2
c3f9d6a6368504f39f7be3866ddffefd,1
e0f84b9dbd31f1a0c14c05c3b8695d55,1
427c5bb0184509cdf2a477115482b10a,1
2ee04ec55c6ada201fd9b9ee37b60e71,1
30cfd594b1daeec8bded771ca0c9f9ca,2
27ebc9ae884f2286b7c089b13489da81,1
71dcdba3bd434d940b623f08640f3629,4
90dd5c71733c8153bcb99393d4666b60,1
5ad2be4e32cc204320f2702ed249e1c6,5
471fe049035a26dce168ebe5079882fd,1
15ef0551b09c661df9acabebea2f2d66,1
e0bc38592be73c14f36507be2f08a103,2
c9cec521cb440cef25933f9d74ad59c2,1
e4cbbf83d335bedf66b4ec25d6a1ccaf,1
cc87f16d87d5b3f24d747cbce3cec014,2
fe2a04701a6953ba4c7974d1ba413cbb,5
c3fe5681bd9842b9208578ef2174135d,1
15672a6b9a7e362ddb50154ab619f148,1
6ab68f1a0ba02e4bf2ded62df0c2c01a,1
7815a024d7afab78d0ef1efd8b9c5388,1
8dff40006b767a98a115f4e4a201d3e7,1
afca6b7bce6f92dbd8cedd72c193561d,5
f8157a67ecde5ccb2bb8dbb4a484fdef,1
da606b3ec32e93f8526f7f10e311a6b4,4
72ffe4f4692a9ae65fd70feacf45740c,2
4014a5da4c4565f075f0c083a889d869,1
b1b6ecbe9373bb87195773a27e932fd5,1
67d069fd8cd76608e335ac053db56e86,1
80d511232b1f697273633a1b571fbee4,1
11681a7366179043359bfa1efcb1bfbd,1
2e65697e3b690d3957a687502ea5e171,1
4d4c2c0d13dac4b3c591b7299a2689a1,1
10201ffd523d272a246f15ff2a6a9a6b,1
3d209156d1223c1ceeb526542eaf94f3,5
6ea8b347ad4b9ba2bba633f9f9ada191,1
9d0c2dec45025770448c5e6aec3a3dad,1
aa7ec137b30e039581c08b7c3251470c,1
87db090dfd3a6bc2a991d5e2decdd9ff,1
7ec1814389e5e5f04ebe842fddcc0ec5,1
2da735eb7070d1154a9bf20750a0cd55,1
93d1ca69651ae61d3cfca1b2dd3088d3,1
2bf85a1c2219baadae34dfa471b5cde3,1
58446a94f0b82175beb22c97c203b453,1
510d807bee5986578a2c4f1c74e0f8ac,5
0dd65b7ec07b61c1880f42f1b586634e,1
dd1be7c3af3157c3f778961a1d45914a,1
5182fadb709cb1e717811653792d17b5,2
10414f90f7a86595bf392a118c693413,1
5cc5e424b686e0b26722b7f09a0f4346,1
fad038a39ef2adde831d7c11dfbc0706,1
42d7e8ded2f47a2d26f4a286922a9eb2,1
3e342daf96f497c69021df3bf33bc2e8,1
b33887a3bd48c7263efa860120f6d5b4,1
d33d2bdb8d66723e49d9506538431d10,1
c05a6f510abe4ea05086b0c952bfb2ed,1
dc8786867bd034681f4501ba14dd1ba3,1
067e9df6421e34b06905bd31793a37a1,2
ff55fb9d0ad72d3f6034757e59d1f64c,1
90674c6480ac8cf336cc4257743df907,1
ca03bb5b7269de3a38ba43f158dfa7b2,1
73d31d2fae7a87cb89aa52d4441f5e09,2
afaa7cdfefffa55c4e3beafe00c1e590,1
ae6b93871910fe915515245b5c000b60,5
aaefa7ebd3175f06a827c7811f424c44,1
1a8341af454e500689239d249c435f8e,1
160fae91ae3816c51553b16053efa95f,2
6b751b72932012b5996392d144e9bcb7,1
adb625e58c95d52108cb819b275aaee8,1
41b014d8ffaf0af9af6846d938fb3c24,1
a43c05f95089866340eaa4e2ce343147,1
bd761a6d52364a30168745c6708900e7,2
b366fe8df75e779008b9a347f0ffe463,1
52148b2404dc082bb34531c575e17bff,1
286ed4d099866124cf8b1b3f18624779,1
c44bba988ad457cabae71a28ba11f921,1
621ff432a1b14adda87aa6186e6049d0,1
316a3b329075ab0143fed0fb402e2748,1
f9052cdb1738992e06ef47904964cc92,2
a0c8af6597e7dd187eca57efcec2d6cb,1
ef406d022cc14049a2aa99a493912f0d,1
376221270a5f66697bf37efdef3334ed,1
d2338a2e8ded3ff19d5dfa736e8d521b,1
7560925b3597d8e0b5f949c6d46b44b5,1
cfa00faa45d61347016cf1e93ffb47d2,3
7bcdd7c4de754cdac16009249b4a9f29,1
46fcc71194f04cb043e12b1c1ad89ea1,1
f5261d8aea1e0ecf4473e875ca7601a9,1
5c842a1413210eb239d81bbb8783d725,1
f0ca07f8b517c3b35b8adc8ec12ed247,1
93d407d37ee7deb0da2e3782d835af36,5
12fa87371d89988cefe5911b04cd7fd8,5
14de534a5108d97c2d62430e4844d30c,1
0f75a66ff18b5a9249a5b3ff88d831d8,1
b27baf2026c1a45a1e1fb53978f26fed,1
5a0788abb6297a87705d8d6812af17c3,1
b5a75ee30645cb947ad835d87d6cfa11,1
